,Unnamed: 0,price,kms_driven,owner,age,power,brand
0,0,35000.0,17654.0,1,3.0,110.0,1
1,1,119900.0,11000.0,1,4.0,350.0,2
2,2,600000.0,110.0,1,8.0,675.0,3
3,3,65000.0,16329.0,1,4.0,180.0,1
4,4,80000.0,10000.0,1,3.0,150.0,4
5,5,53499.0,25000.0,1,6.0,150.0,4
6,6,85000.0,8200.0,1,3.0,160.0,5
7,7,45000.0,12645.0,1,3.0,100.0,6
8,8,145000.0,9190.0,1,3.0,350.0,2
9,9,88000.0,19000.0,2,7.0,500.0,2
10,10,72000.0,20000.0,1,7.0,150.0,4
11,11,95000.0,9665.0,1,4.0,250.0,4
12,12,78000.0,9900.0,1,4.0,200.0,7
13,13,29499.0,20000.0,1,8.0,100.0,7
14,14,29900.0,20000.0,1,7.0,125.0,7
15,15,90000.0,11574.0,1,3.0,200.0,7
16,16,120000.0,23000.0,1,3.0,200.0,7
17,17,48000.0,24725.0,1,5.0,150.0,8
18,18,240000.0,15025.0,2,3.0,302.0,9
19,22,46500.0,3500.0,1,2.0,110.0,6
20,23,121700.0,24520.0,1,5.0,500.0,2
21,24,45000.0,23000.0,1,6.0,150.0,4
22,26,20000.0,29305.0,1,16.0,125.0,6
23,27,20800.0,30500.0,2,7.0,125.0,5
24,28,50000.0,19000.0,1,8.0,150.0,7
25,29,81200.0,9100.0,1,2.0,160.0,5
26,30,88000.0,21914.0,1,3.0,200.0,7
27,31,80000.0,20000.0,2,4.0,150.0,4
28,32,40900.0,15000.0,1,6.0,220.0,7
29,33,180000.0,17700.0,1,4.0,390.0,10
30,34,40000.0,30000.0,1,8.0,150.0,5
31,35,70000.0,100000.0,2,8.0,200.0,10
32,36,98800.0,39000.0,1,5.0,350.0,2
33,37,65000.0,43000.0,1,6.0,150.0,5
34,38,190500.0,4550.0,1,2.0,500.0,2
35,39,179000.0,3400.0,1,2.0,200.0,10
36,40,70000.0,45000.0,1,8.0,350.0,2
37,41,45000.0,36100.0,1,6.0,220.0,7
38,42,78000.0,8500.0,1,13.0,350.0,2
39,43,110000.0,2550.0,1,2.0,220.0,7
40,44,85000.0,18000.0,1,6.0,350.0,2
41,45,38000.0,35000.0,1,9.0,200.0,7
42,46,55346.0,38000.0,1,10.0,350.0,2
43,47,28000.0,45000.0,1,2.0,110.0,11
44,48,37000.0,10800.0,1,8.0,150.0,6
45,49,97000.0,4400.0,1,3.0,150.0,8
46,50,40000.0,357000.0,1,8.0,150.0,4
47,51,90000.0,15300.0,1,7.0,350.0,2
48,52,60000.0,30000.0,1,5.0,160.0,1
49,53,21900.0,30000.0,2,7.0,125.0,5
50,54,40000.0,64000.0,1,7.0,220.0,7
51,55,475000.0,11500.0,2,3.0,600.0,9
52,56,34500.0,17056.0,1,5.0,110.0,5
53,57,25000.0,172082.0,1,9.0,150.0,4
54,58,30200.0,45000.0,1,7.0,150.0,8
55,59,65000.0,35000.0,1,5.0,220.0,7
56,60,25000.0,38000.0,1,9.0,150.0,7
57,61,935000.0,2500.0,1,2.0,900.0,12
58,62,107100.0,15438.0,2,3.0,350.0,2
59,63,80000.0,6000.0,1,3.0,220.0,7
60,64,88000.0,19000.0,1,5.0,350.0,2
61,65,94700.0,32700.0,1,4.0,200.0,10
62,66,12200.0,46643.0,1,14.0,100.0,6
63,67,106000.0,19000.0,1,6.0,350.0,2
64,68,29500.0,40700.0,1,12.0,220.0,7
65,69,290000.0,11350.0,1,7.0,650.0,12
66,70,110000.0,1600.0,1,6.0,350.0,2
67,71,27000.0,44410.0,1,10.0,125.0,7
68,72,65000.0,9800.0,1,11.0,350.0,2
69,73,150000.0,15000.0,1,3.0,350.0,2
70,74,55786.0,68000.0,2,7.0,223.0,6
71,75,45000.0,17757.0,1,8.0,180.0,7
72,76,146000.0,3900.0,1,2.0,250.0,4
73,77,115000.0,23700.0,1,4.0,350.0,2
74,78,30000.0,8250.0,1,3.0,100.0,7
75,79,93100.0,10000.0,1,5.0,200.0,7
76,80,82000.0,4300.0,2,3.0,150.0,4
77,81,260000.0,3800.0,1,2.0,650.0,2
78,82,38000.0,33000.0,1,7.0,125.0,5
79,83,130000.0,17500.0,2,4.0,250.0,10
80,84,118000.0,19000.0,1,4.0,410.0,2
81,85,14700.0,10000.0,1,11.0,135.0,7
82,86,85000.0,54000.0,1,6.0,350.0,2
83,87,40000.0,27000.0,1,7.0,220.0,7
84,88,50000.0,19000.0,1,6.0,150.0,4
85,89,71800.0,43500.0,1,7.0,350.0,2
86,91,75000.0,11575.0,1,4.0,200.0,7
87,92,1350000.0,190.0,1,1.0,1100.0,13
88,93,790000.0,19000.0,1,3.0,765.0,3
89,94,47000.0,8600.0,1,4.0,150.0,7
90,95,60000.0,2000.0,1,2.0,150.0,7
91,96,96700.0,5100.0,1,1.0,150.0,8
92,97,31900.0,9000.0,1,5.0,100.0,6
93,98,35000.0,44480.0,1,13.0,150.0,7
94,99,240000.0,11000.0,1,3.0,390.0,10
95,100,68000.0,16000.0,1,7.0,250.0,5
96,101,80000.0,26691.0,1,5.0,200.0,7
97,102,135000.0,45000.0,1,5.0,350.0,2
98,103,11100.0,12000.0,3,12.0,150.0,7
99,104,480000.0,14200.0,1,4.0,600.0,9
100,105,65000.0,41000.0,1,3.0,150.0,8
101,106,60000.0,15000.0,1,5.0,150.0,4
102,107,80000.0,12314.0,1,4.0,150.0,5
103,108,46000.0,11760.0,1,3.0,100.0,6
104,109,95000.0,22000.0,1,11.0,500.0,2
105,110,400000.0,1800.0,1,4.0,650.0,14
106,111,55000.0,4400.0,1,4.0,150.0,7
107,112,63000.0,16000.0,1,5.0,150.0,4
108,113,51000.0,9000.0,1,4.0,150.0,7
109,114,69900.0,8700.0,1,3.0,160.0,1
110,115,125000.0,1342.0,1,4.0,200.0,7
111,116,210000.0,21000.0,1,6.0,300.0,9
112,117,35900.0,19000.0,1,5.0,125.0,5
113,118,67000.0,13000.0,1,9.0,250.0,5
114,119,29339.0,12771.0,1,4.0,100.0,6
115,120,19695.0,51576.0,1,6.0,100.0,6
116,121,48672.0,608.0,1,2.0,110.0,6
117,122,40000.0,13680.0,1,9.0,150.0,5
118,123,500000.0,285.0,1,5.0,600.0,4
119,124,800000.0,3.0,1,3.0,1299.0,13
120,125,110000.0,24676.0,1,5.0,410.0,2
121,126,92500.0,11000.0,1,6.0,350.0,2
122,127,57000.0,28948.0,1,5.0,200.0,7
123,128,72500.0,10000.0,1,10.0,350.0,2
124,129,68000.0,16000.0,1,9.0,200.0,10
125,130,21500.0,10500.0,1,5.0,125.0,1
126,131,40000.0,20000.0,1,6.0,160.0,1
127,132,91000.0,18000.0,1,5.0,350.0,2
128,133,300000.0,3500.0,1,6.0,750.0,15
129,134,47000.0,70000.0,1,6.0,150.0,8
130,135,53000.0,18158.0,1,6.0,150.0,8
131,136,51000.0,39140.0,1,5.0,150.0,8
132,137,48000.0,27776.0,1,8.0,220.0,7
133,138,55000.0,32734.0,1,6.0,220.0,7
134,139,173300.0,14000.0,1,2.0,410.0,2
135,140,77000.0,13000.0,1,8.0,350.0,2
136,141,115000.0,5000.0,1,2.0,200.0,7
137,142,36000.0,39500.0,1,7.0,150.0,7
